,Date,Yahoo,Microsoft,Google,Facebook,Apple
1257,2011-01-03,16.75,27.98,604.35103,50.84,329.57
1256,2011-01-04,16.59,28.09,602.121019,50.849999,331.290012
1255,2011-01-05,16.91,28.00,609.071056,51.049995,334.000008
1254,2011-01-06,17.059999,28.82,613.501059,51.629997,333.729988
1253,2011-01-07,16.90,28.60,616.441059,52.049996,336.120003
1252,2011-01-10,16.60,28.219999,614.211048,51.909998,342.450001
1251,2011-01-11,16.58,28.110001,616.011046,52.18,341.639996
1250,2011-01-12,16.65,28.549999,616.871071,52.54,344.420006
1249,2011-01-13,16.75,28.190001,616.691077,52.659997,345.680008
1248,2011-01-14,16.809999,28.299999,624.181096,53.159999,348.479992
1247,2011-01-18,16.50,28.66,639.631089,53.689996,340.650013
1246,2011-01-19,16.309999,28.469999,631.751064,52.989997,338.840012
1245,2011-01-20,16.23,28.35,626.771094,52.959998,332.680004
1244,2011-01-21,15.97,28.02,611.831063,53.029995,326.720001
1243,2011-01-24,16.09,28.379999,611.081068,53.499998,337.449993
1242,2011-01-25,16.02,28.450001,619.911054,53.799995,341.39999
1241,2011-01-26,15.57,28.780001,616.501036,53.699999,343.850006
1240,2011-01-27,16.200001,28.870001,616.79106,54.16,343.209991
1239,2011-01-28,15.83,27.75,600.991004,52.449998,336.100002
1238,2011-01-31,16.120001,27.73,600.361026,53.289999,339.319996
1237,2011-02-01,16.379999,27.99,611.041063,54.319999,345.030006
1236,2011-02-02,16.57,27.940001,612.00107,54.599995,344.320004
1235,2011-02-03,16.690001,27.65,610.151019,55.619996,343.44001
1234,2011-02-04,16.790001,27.77,610.981024,55.759994,346.50
1233,2011-02-07,16.799999,28.200001,614.291059,56.209996,351.87999
1232,2011-02-08,16.60,28.280001,618.381046,56.539997,355.200012
1231,2011-02-09,16.43,27.969999,616.501036,48.429999,358.16
1230,2011-02-10,16.620001,27.50,616.441059,48.099999,354.539997
1229,2011-02-11,16.85,27.25,624.501078,47.919994,356.85001
1228,2011-02-14,16.889999,27.23,628.151067,47.659999,359.179996
1227,2011-02-15,17.200001,26.959999,624.151076,47.379999,359.900013
1226,2011-02-16,17.76,27.02,624.22104,48.149999,363.129993
1225,2011-02-17,17.77,27.209999,625.261058,48.459999,358.300003
