Date,Yahoo,Microsoft,Google,Facebook,Apple
2015-12-31,33.259998,55.48,758.880005,105.260002,105.260002
2015-12-30,33.369999,56.310001,771.00,107.32,107.32
2015-12-29,34.040001,56.549999,776.599976,108.739998,108.739998
2015-12-28,33.599998,55.950001,762.51001,106.82,106.82
2015-12-24,34.110001,55.669998,748.400024,108.029999,108.029999
2015-12-23,34.450001,55.82,750.309998,108.610001,108.610001
2015-12-22,34.189999,55.349998,750.00,107.230003,107.230003
2015-12-21,32.970001,54.830002,747.77002,107.330002,107.330002
2015-12-18,32.950001,54.130001,739.309998,106.029999,106.029999
2015-12-17,33.23,55.700001,749.429993,108.980003,108.980003
2015-12-16,33.779999,56.130001,758.090027,111.339996,111.339996
2015-12-15,33.029999,55.200001,743.400024,110.489998,110.489998
2015-12-14,32.59,55.139999,747.77002,112.480003,112.480003
2015-12-11,32.91,54.060001,738.869995,113.18,113.18
2015-12-10,34.630001,55.27,749.460022,116.169998,116.169998
2015-12-09,34.400002,54.98,751.609985,115.620003,115.620003
2015-12-08,34.849998,55.790001,762.369995,118.230003,118.230003
2015-12-07,34.68,55.810001,763.25,118.279999,118.279999
2015-12-04,34.91,55.91,766.809998,119.029999,119.029999
2015-12-03,34.34,54.200001,752.539978,115.199997,115.199997
2015-12-02,35.650002,55.209999,762.380005,116.279999,116.279999
2015-12-01,33.709999,55.220001,767.039978,117.339996,117.339996
2015-11-30,33.810001,54.349998,742.599976,118.300003,118.300003
2015-11-27,32.939999,53.93,750.26001,117.809998,117.809998
2015-11-25,33.16,53.689999,748.150024,118.029999,118.029999
2015-11-24,32.959999,54.25,748.280029,118.879997,118.879997
2015-11-23,33.360001,54.189999,755.97998,117.75,117.75
2015-11-20,33.110001,54.189999,756.599976,119.300003,119.300003
2015-11-19,32.630001,53.939999,738.409973,118.779999,118.779999
2015-11-18,32.98,53.849998,740.00,117.290001,117.290001
2015-11-17,32.860001,52.970001,725.299988,113.690002,113.690002
2015-11-16,32.950001,53.77,728.960022,114.18,114.18
2015-11-13,32.189999,52.84,717.00,112.339996,112.339996
2015-11-12,33.23,53.32,731.22998,115.720001,115.720001
2015-11-11,33.380001,53.650002,735.400024,116.110001,116.110001
2015-11-10,33.990002,53.509998,728.320007,116.769997,116.769997
2015-11-09,33.68,54.16,724.890015,120.57,120.57
2015-11-06,34.200001,54.919998,733.76001,121.059998,121.059998
2015-11-05,35.119999,54.380001,731.25,120.919998,120.919998
2015-11-04,35.07,54.400002,728.109985,122.00,122.00
2015-11-03,34.720001,54.150002,722.159973,122.57,122.57
2015-11-02,35.27,53.240002,721.109985,121.18,121.18
2015-10-30,35.619999,52.639999,710.809998,119.50,119.50
2015-10-29,35.049999,53.360001,716.919983,120.529999,120.529999
2015-10-28,35.189999,53.98,712.950012,119.269997,119.269997
2015-10-27,34.299999,53.689999,708.48999,114.550003,114.550003
2015-10-26,33.400002,54.25,712.780029,115.279999,115.279999
2015-10-23,33.169998,52.869999,702.00,119.080002,119.080002
2015-10-22,31.67,48.029999,651.789978,115.50,115.50
2015-10-21,31.120001,47.200001,642.609985,113.760002,113.760002
2015-10-20,32.830002,47.77,650.280029,113.769997,113.769997
2015-10-19,33.50,47.619999,666.099976,111.730003,111.730003
2015-10-16,33.369999,47.509998,662.200012,111.040001,111.040001
2015-10-15,33.48,47.009998,661.73999,111.860001,111.860001
2015-10-14,32.09,46.68,651.159973,110.209999,110.209999
2015-10-13,32.34,46.889999,652.299988,111.790001,111.790001
2015-10-12,32.860001,47.00,646.669983,111.599998,111.599998
2015-10-09,32.52,47.110001,643.609985,112.120003,112.120003
2015-10-08,32.369999,47.450001,639.159973,109.50,109.50
2015-10-07,31.870001,46.799999,642.359985,110.779999,110.779999
2015-10-06,30.959999,46.75,645.440002,111.309998,111.309998
2015-10-05,30.85,46.630001,641.469971,110.779999,110.779999
2015-10-02,30.709999,45.57,626.909973,110.379997,110.379997
2015-10-01,28.91,44.610001,611.289978,109.580002,109.580002
2015-09-30,28.91,44.259998,608.419983,110.300003,110.300003
2015-09-29,28.26,43.439999,594.969971,109.059998,109.059998
2015-09-28,27.60,43.290001,594.890015,112.440002,112.440002
2015-09-25,29.129999,43.939999,611.969971,114.709999,114.709999
2015-09-24,29.34,43.91,625.799988,115.00,115.00
2015-09-23,29.74,43.869999,622.359985,114.32,114.32
2015-09-22,30.40,43.900002,622.690002,113.400002,113.400002
2015-09-21,31.17,44.110001,635.440002,115.209999,115.209999
2015-09-18,30.74,43.48,629.25,113.449997,113.449997
2015-09-17,30.93,44.25,642.900024,113.919998,113.919998
2015-09-16,31.40,44.299999,635.97998,116.410004,116.410004
2015-09-15,31.040001,43.98,635.140015,116.279999,116.279999
2015-09-14,30.32,43.040001,623.23999,115.309998,115.309998
2015-09-11,31.43,43.48,625.77002,114.209999,114.209999
2015-09-10,31.15,43.290001,621.349976,112.57,112.57
2015-09-09,31.52,43.07,612.719971,110.150002,110.150002
2015-09-08,30.90,43.889999,614.659973,112.309998,112.309998
2015-09-04,31.58,42.610001,600.700012,109.269997,109.269997
2015-09-03,32.540001,43.50,606.25,110.370003,110.370003
2015-09-02,31.77,43.360001,614.340027,112.339996,112.339996
2015-09-01,31.60,41.82,597.789978,107.720001,107.720001
2015-08-31,32.240002,43.52,618.25,112.760002,112.760002
2015-08-28,33.139999,43.93,630.380005,113.290001,113.290001
2015-08-27,33.689999,43.900002,637.609985,112.919998,112.919998
2015-08-26,32.52,42.709999,628.619995,109.690002,109.690002
2015-08-25,31.74,40.470001,582.059998,103.739998,103.739998
2015-08-24,31.309999,41.68,589.609985,103.120003,103.120003
2015-08-21,32.93,43.07,612.47998,105.760002,105.760002
2015-08-20,34.099998,45.66,646.830017,112.650002,112.650002
2015-08-19,35.189999,46.610001,660.900024,115.010002,115.010002
2015-08-18,35.689999,47.27,656.130005,116.50,116.50
2015-08-17,36.099998,47.32,660.869995,117.160004,117.160004
2015-08-14,36.240002,47.00,657.119995,115.959999,115.959999
2015-08-13,35.93,46.73,656.450012,115.150002,115.150002
2015-08-12,34.490002,46.740002,659.559998,115.239998,115.239998
2015-08-11,36.029999,46.41,660.780029,113.489998,113.489998
2015-08-10,37.150002,47.330002,633.72998,119.720001,119.720001
2015-08-07,36.669998,46.740002,635.299988,115.519997,115.519997
2015-08-06,36.459999,46.619999,642.679993,115.129997,115.129997
2015-08-05,37.25,47.580002,643.780029,115.400002,115.400002
2015-08-04,37.119999,47.540001,629.25,114.639999,114.639999
2015-08-03,36.689999,46.810001,631.210022,118.440002,118.440002
2015-07-31,36.669998,46.700001,625.609985,121.300003,121.300003
2015-07-30,37.419998,46.880001,632.590027,122.370003,122.370003
2015-07-29,37.669998,46.290001,631.929993,122.989998,122.989998
2015-07-28,37.720001,45.34,628.00,123.379997,123.379997
2015-07-27,37.84,45.349998,627.26001,122.769997,122.769997
2015-07-24,38.849998,45.939999,623.559998,124.50,124.50
2015-07-23,39.209999,46.110001,644.280029,125.160004,125.160004
2015-07-22,39.240002,45.540001,662.099976,125.220001,125.220001
2015-07-21,39.73,47.279999,662.299988,130.75,130.75
2015-07-20,39.540001,46.919998,663.02002,132.070007,132.070007
2015-07-17,39.68,46.619999,672.929993,129.619995,129.619995
2015-07-16,38.91,46.66,579.849976,128.509995,128.509995
2015-07-15,38.380001,45.759998,560.219971,126.82,126.82
2015-07-14,38.630001,45.619999,561.099976,125.610001,125.610001
2015-07-13,38.759998,45.540001,546.549988,125.660004,125.660004
2015-07-10,37.919998,44.610001,530.130005,123.279999,123.279999
2015-07-09,37.610001,44.52,520.679993,120.07,120.07
2015-07-08,37.23,44.240002,516.830017,122.57,122.57
2015-07-07,38.23,44.299999,525.02002,125.690002,125.690002
2015-07-06,38.610001,44.389999,522.859985,126.00,126.00
2015-07-02,39.380001,44.400002,523.400024,126.440002,126.440002
2015-07-01,39.330002,44.450001,521.840027,126.599998,126.599998
2015-06-30,39.290001,44.150002,520.51001,125.43,125.43
2015-06-29,38.91,44.369999,521.52002,124.529999,124.529999
